"Rolanda is growing tomato plants in her garden. She has created a compost pile and has been adding compost around her tomato plants to help fertilize them. Compost is solid waste in which organic material is broken down by microorganisms in the presence of oxygen to where it can be safely stored, handled, and applied to the environment. On what does Rolanda primarily rely in order for composting to work?",producers,consumers,scavengers,decomposers,D
Which of the following helps to produce urine in humans and other mammals?,bladder,urethra,kidneys,ureter,C
What abiotic factor would most likely signal a population of birds that it is time to migrate from north to south?,decrease in sunlight,change in precipitation,increase in food source,change in wind direction,A
Crows are found throughout many parts of the world. They are black birds with excellent hearing. In the wild they live for six to seven years. Some crows in Japan open hard-shelled nuts by dropping them in front of moving cars. Which of these is a learned behavior?,Having excellent hearing,Living six to seven years,Dropping nuts in front of cars,Having black feathers,C
Most of the concentration of which gas results from the activity of producer organisms?,nitrogen,oxygen,water vapor,carbon dioxide,B
"In the human body, cellular respiration breaks down sugar molecules after they enter the cell. What results from this process?",growth of bacteria,release of energy,activity of enzymes,production of oxygen,B
What is the role of chlorophyll in photosynthesis?,absorbing oxygen,reflecting green light,absorbing light energy,blocking carbon dioxide,C
Alicia has lots of old bicycle parts. She wants to build something new with the parts. What is the first thing Alicia should do?,plan the new item,construct the new item,try out the new item,evaluate the new item,A
"The process of digestion breaks down proteins into smaller molecules that are used to rebuild other proteins. During digestion, proteins undergo",cell division.,nuclear reactions.,natural selection.,chemical changes.,D
Which of the following statements best explains how the decomposition of plant and animal matter helps to form rich soils?,Decomposition adds silt to soil.,Decomposition adds water to soil.,Decomposition adds oxygen to soil.,Decomposition adds nutrients to soil.,D
Which sequence lists the levels of organization in the human body from simplest to most complex?,organ system -> tissue -> cell -> organ,tissue -> cell -> organ -> organ system,organ -> organ system -> tissue -> cell,cell -> tissue -> organ -> organ system,D
A rubber band will make a sound when it is,vibrated.,stretched.,cut into pieces.,shot across a room.,A
A student wants to look under a heavy rock. Which simple machine would be BEST to use to lift the rock?,Wheel and axle,Lever,Inclined plane,Screw,B
Which of the following is a consumer?,grain,rabbit,vegetable,tree,B
Which characteristic of a volvox colony makes it more like a multicellular organism than a simple cluster of unicellular organisms?,The cells in the colony respond to stimuli separately.,The cells in the colony are arranged in a specific shape.,Some cells in the colony are specialized for reproduction.,Cells in the colony are connected by strands of cytoplasm.,C
"Otto pushed a toy car across a floor. The car traveled fast across the wood, but it slowed to a stop on the carpet. Which best explains what happened when the car reached the carpet?",Inertia decreased.,Gravity increased.,Friction increased.,Magnetism decreased.,C
Frogs and salamanders compete with each other for insects. Both frogs and salamanders catch flying insects with their tongues. Which feature would most likely help both animals compete for flying insects?,sticky tongues,bright tongues,thick tongues,short tongues,A
Which is a nonrenewable natural resource that is used to make electrical energy?,coal,wind,water,thermal,A
"Deer live in forest for shelter. If the forest was cut down, which situation would most likely happen?",The deer would find shelter in a different habitat.,The deer would wait for the forest to grow back.,The deer would move to another forest area.,The deer would change the type of foods they eat.,C
Which illness is always caused by an infection?,a heart attack,a broken bone,influenza,cancer,C
Which effect do rapidly cooling temperatures have on the water cycle?,Water droplets evaporate into vapor.,Water vapor condenses into droplets.,Condensation evaporates into precipitation.,Precipitation condenses into water droplets.,B
The difference between the atomic number of an element and the element's atomic mass is the number of,ions.,protons.,electrons.,neutrons.,D
A jet plane is moving at a constant velocity on a flat surface. Which forces act against the forward motion of the plane?,gravity and engine thrust,engine thrust and friction,friction and air resistance,air resistance and gravity,C
The direction water flows in a river depends on,the length of the river,the slope of the land,the type of rock over which the water flows,the location of the North Pole,B
Which process in the water cycle returns water from the surface of Earth to the atmosphere?,condensation,evaporation,precipitation,runoff,B
"Which scientist studied biology by traveling by ship to different islands observing animal life, and developed a hypothesis about how species change?",Galileo Galilei,Albert Einstein,Charles Darwin,Sir Isaac Newton,C
In which process is nitrogen from the air put into a form that plants can use?,nitrification,denitrification,nitrogen saturation,nitrogen fixation,D
"By attaching to sharks, remora fish eat the scraps of food left behind when the sharks feed. If remoras were not able to attach to sharks, they would most likely",attach to boats.,not be able to survive.,find another source of food.,not need to eat anymore.,B
About how often is a full moon observed from Earth's surface?,each week,once a month,every two weeks,once each leap year,B
Which geologic feature most likely forms when an oceanic tectonic plate is slowly subducted beneath a continental tectonic plate?,ocean trench,mid-ocean ridge,continental hot spot,continental rift valley,A
A student proposes the rate of increase in a plant's mass will be proportional to the length of light exposure per day when all other variables are constant. How should this proposal be classified?,as a hypothesis,as a conclusion,as a theory,as a statement,A
"When a student uses the equation, mass multiplied by change in temperature multiplied by specific heat, what is being calculated? q = m \times C \times \Delta T",a phase change,stored energy,heat convection,heat gain or heat loss,D
What is necessary to use on a telescope in order to photograph solar flares and solar prominences?,a light filter,a chronograph,an electric drive,a series of mirrors,A
During which process does a caterpillar become a butterfly?,fertilization,metamorphosis,asexual reproduction,biological adaptation,B
Minerals are formed by which process?,magma cooling,fault lines moving,metamorphosis,sedimentation,A
Fish can live in lakes that are frozen because liquid water remains below the ice at the surface. Which of these describes a property of water that allows some liquid water to remain in frozen lakes?,Water can dissolve many different substances.,Water is less dense as a solid than as a liquid.,Water has a Mohs hardness of about 2 when it is frozen.,Water holds less air at higher temperatures.,B
Approximately how many times will Earth rotate during one revolution around the Sun?,1,28,365,1440,C
What characteristic helps a rabbit survive in a winter environment?,size,strength,long ears,camouflage,D
What happens to water when it boils?,It changes color.,It becomes heavier.,It changes into water vapor.,It stops bubbling.,C
What is the major function of the human excretory system?,eliminate waste materials,respond to stimuli,break down food mechanically,absorb nutrients from food,A
"The Heliocentric Theory, as supported by Copernicus, revolutionized scientific theories regarding",the life cycle.,the water cycle.,the solar system.,the immune system.,C
"In the human kidney, urea from the blood is filtered through the glomerular membrane into a nephron. The movement of urea across this membrane occurs without an input of energy. Which factor is the most likely reason urea absorption does not require energy?",a pH imbalance,a pressure difference,a temperature increase,a concentration gradient,D
Where does a landslide begin?,a low hill,a plain,a mountain,a basin,C
An idea that the universe originated with an explosion is supported by repeated observations of light from distant galaxies traveling away from Earth. An idea that has been tested repeatedly and is supported by repeated results is most likely a,hypothesis.,theory.,law.,fact.,B
"Hydrochloric acid is added to a beaker containing a piece of zinc. As a result, zinc chloride is formed and hydrogen gas is released. This is an example of",a chemical reaction,a physical change,photosynthesis,evaporation,A
"A scientist looks at a graph that shows the percentages of humus, clay, and sand that make up a soil. If the scientist had the total weight of each material, instead of percentages, what type of graph would be best to illustrate the data?",bar graph,scatterplot,circle graph,pictograph,A
Fertilizers added by farmers to the soil contain high amounts of nitrates. How do fertilizers affect the nitrogen cycle?,More nitrates are available for plants to absorb.,More nitrates are available for animals to eat.,More nitrogen gas is released into the atmosphere.,More nitrogen is converted by bacteria into nitrates.,A
"In a city, the daily high and low 16 temperatures for a month are best represented by which of the following?",flow chart,line graph,pictograph,pie chart,B
A wind turbine primarily uses which type of energy?,nuclear,thermal,chemical,mechanical,D
Which of the following describes asexual reproduction?,the process of meiosis in a fruit fly,fertilization of a chicken egg,binary fission in an amoeba,the process of embryo development in a mouse,C
"In animal skin tissue, cell division is responsible for",growth and repair,sexual reproduction,obtaining energy,production of sex cells,A
Which tool is most responsible for preventing future pandemics of smallpox?,worldwide vaccination for smallpox,global education about smallpox,better worldwide urban sanitation,improved global quarantine facilities,A
Many processes on Earth occur at or near tectonic plate boundaries. Which geological events are most common along tectonic plate boundaries?,erosion and deposition,hurricanes and tornadoes,earthquakes and volcanoes,tidal waves and sedimentation,C
Which observation of a plant supports the inference that photosynthesis can take place?,"a strong, sweet smell","a dry, rough texture",a green color,a smooth stem,C
What safety rule is most important for students to follow when working with acids and bases?,wear nose plugs,put on safety goggles,put away all lab supplies,wear heavy cloth gloves,B
A hillside along a highway has exposed layers of undisturbed sedimentary rock. Which method would be best for scientists to use to determine the relative age of these sedimentary rock layers?,apply the law of superposition,calculate the rate of radiometric decay,apply the law of crosscutting relationships,calculate the rate of tectonic plate movement,A
Amylase is a chemical that decomposes starch into maltose and dextrin. Which best describes the role of amylase in the human body?,as an inhibitor of insulin production,as an enzyme that aids in digestion,as a catalyst for protein synthesis,as a receptor of fatty acid chains,B
Why is it important to repeat an experiment several times?,to use up all the materials,to give all the students the chance to participate,to collect more data to fit the hypothesis,to determine if the results are similar,D
A push or a pull on an object is an example of,force.,weight.,energy.,work.,A
"David planted ten corn seeds in sandy soil and ten corn seeds in clay soil. He kept both groups of plants at room temperature, gave them the same amount of water, and placed them all in the same sunny room. Which of the following questions is David most able to answer with his experiment?",How much soil and water do corn seeds need to grow?,Do corn plants grow better in sandy soil or in clay soil?,Do corn plants grown in sandy soil need more water than corn plants grown in clay soil?,"What are the effects of soil, temperature, water, and sunshine on the growth of corn plants?",B
Which characteristic is shared by Earth and the Moon?,glaciers,flowing water,an atmosphere that contains oxygen,an orbit created by the force of gravity,D
More sulfur dioxide is being added to the atmosphere. How will this most likely affect the hydrosphere?,There will be a decrease in sea level.,The acidity of the ocean will increase.,There will be an increase in fresh water.,The temperature of the oceans will decline.,B
A student wants to cut a piece of string for a class activity. The length of the string is measured BEST in which units?,Gallons,Liters,Miles,Centimeters,D
Coal was made from the remains of which ancient ecosystem?,rocky islands,fertile valleys,green swamps,fast-flowing rivers,C
Some events on Earth happen instantly while others take thousands of years to occur. Which process takes the longest time to complete?,rivers rising due to storms and floods,evaporation of water from the leaves of a plant,weathering of a rock to form small rocks and sand,movement of small pieces of rock by flowing water,C
Which combination of letters could be used as a chemical symbol for an element?,BR,Chl,Dy,FeO,C
Light travels fastest through which of the following?,air,glass,water,a vacuum,D
Which is a physical property of an apple?,what color it is,how pretty it is,how much it costs,when it was picked,A
Light rays are focused by the lens of a camera through the process of,reflection.,refraction.,dispersion.,diffraction.,B
Which statement best explains Earth's day and night cycle?,Earth rotates once each day on its axis.,Earth revolves around the Sun each year.,The Sun is closest to Earth during the day.,The tilt of Earth changes throughout the year.,A
Which energy type is common enough in Nevada to make a significant contribution to the renewable energy needs of the state?,coal,geothermal,natural gas,petroleum,B
"In order for rocks to be classified as igneous, the rocks must",solidify at the surface of Earth.,be eroded and deposited in layers.,be formed from magma.,change form when pressure is applied.,C
To which planet do National Aeronautics and Space Administration (NASA) scientists hope to send humans next?,Mars,Venus,Jupiter,Mercury,A
"Sugar is composed of carbon, hydrogen, and oxygen. Sugar is an example of which of the following?",an atom,a compound,an electron,a mixture,B
How many times does the Moon rotate on its axis during a lunar month?,one,two,three,four,A
Which cell structure carries out a function for a cell that is similar to the function that bark carries out for a tree?,cell wall,nucleus,chloroplast,mitochondrion,A
The complete removal of decomposers from an ecosystem will have the greatest effect on which of the following?,the spread of disease,the availability of water,the recycling of nutrients,the distribution of organisms,C
Which of these properties of water helps moderate the weather of coastal areas?,neutral pH,high specific heat,dissolves many substances,floats as a solid,B
What causes the blue color of the sky?,emission of light by land and water surfaces,reflection of light from land and water surfaces,absorption of light by matter in the atmosphere,scattering of light by matter in the atmosphere,D
Which example would result in new cells that are most different from the parent cells?,yeast cells splitting into new cells,bacteria cells dividing into new cells,skin cells dividing to produce more skin cells,sperm and egg cells uniting to produce fertilized egg cells,D
"Homes that are built to be environmentally friendly because they use energy more efficiently than other homes are called ""green"" homes. ""Green"" homes often have reflective roofs and walls made of recycled materials. The windows in these energy-saving homes are double-paned, meaning each window has two pieces of glass. Double-paned windows have a layer of air between the window panes. This layer is a barrier against extreme temperatures and saves energy. A solar panel on a ""green"" home uses",chemical energy,mechanical energy,a renewable energy source,a nonrenewable energy source,C
"Maria collected the gas given off by a glowing piece of charcoal. The gas was then bubbled through a small amount of colorless limewater. Part of Maria's report stated, ""After the gas was put into the jar, the limewater gradually changed to a milky white color."" This statement is",an observation,a conclusion,a generalization,an assumption of the investigation (E) a hypothesis,A
Before it rains water must collect in,clouds.,snow.,sleet.,fog.,A
"In some locations, squirrels sleep for long periods of time during the winter months. Which of the following most likely causes these squirrels to sleep for long periods of time?",increase in humidity,decrease in temperature,clouds forming in the sky,winds blowing in the night,B
Overuse of soil for farming causes local disruptions of several Earth subsystems. Which of these is a part of the biogeochemical cycle that experiences the most severe local disruption?,release of carbon into the atmosphere,release of oxygen into the atmosphere,cycling phosphorus into the soil,cycling hydrogen into the soil,C
Which of these human activities most relies on high-quality soil?,Hiking,Hunting,Coal mining,Growing crops,D
The motion of Earth is responsible for several celestial events. Which of the following events is caused by Earth revolving around the sun?,the days in a year,the hours in a day,the changes in the atmosphere of Earth,the position of the constellations in space,A
Which is an example of a different substance being formed?,glass breaking,metal melting,water freezing,wood burning,D
Which items would best protect a group of students while investigating a forest ecosystem?,short pants and T-shirts,short pants and long-sleeved shirts,long pants and T-shirts,long pants and long-sleeved shirts,D
"When a soccer player kicks a ball, which two systems work directly with the muscular system?",immune and excretory,digestive and respiratory,nervous and skeletal,circulatory and integumentary,C
Which sequence correctly shows the levels of organization for structure and function in a human?,cell -> tissue -> organ -> organ system,organ system -> cell -> tissue -> organ,tissue -> organ -> organ system -> cell,cell -> organ -> tissue -> organ system,A
How do producers get energy?,eating plants and seeds,eating other animals,breaking down organisms through decay,using the sun to make food,D
Grooves running down the sides of a riverbank are most likely caused by,wind.,rocks.,leaves.,rainwater.,D
"The work of which scientist serves as the basis for many procedures used in agriculture, such as selective breeding of plants?",Darwin,Mendel,Einstein,Pasteur,B
Which energy source is considered nonrenewable?,oil,moving water,sunlight,biomass,A
The aloe plant can absorb a lot of water during a rain shower. The extra water is stored in its leaves. The ability to store water in its leaves is most likely an adaptation to which type of environment?,one near the ocean,one with dry conditions,one with a variety of organisms,one that receives a lot of sunlight,B
"Monarch butterflies use milkweed plants during all of their life stages. Milkweed plants grow in open areas, such as grasslands and wetlands. They also often grow between row crops. Given this information, which of these biotechnologies would pose the greatest threat to monarch butterflies?",development of new antibiotics,development of new herbicides,development of disease-resistant crops,development of insect-resistant crops,B
Shale is a sedimentary rock that can be metamorphosed into slate by,cementation.,chemical weathering.,sedimentation.,increased pressure.,D
A student determined the density of different bars of soap. Which should the student most likely do to check the accuracy of the results?,complete the experiment in one day,test multiple brands of soap,record data in metric units,repeat the experiment,D
Which two factors determine the gravitational attraction between two objects?,time and temperature,shape and orbital speed,color and hardness,mass and distance apart,D
"A scientist developed a model that described the actions of DNA in the cell nuclei, which helped explain how traits were inherited. Which scientist helped develop this model?",Bohr,Hooke,Mendel,Watson,D
The formation of the Himalayan Mountains is one example of land features caused by compressive forces. Which action most likely led to the formation of these mountains?,seafloor spreading,strike-slip faulting,colliding plates,hot spots,C
Strong winds have the ability to uproot large trees in a wooded area. Which of these organisms would most likely benefit from this change in a habitat?,a bee colony that needs a hive,a bird that needs to build a nest,a squirrel that needs to find shelter,a plant that needs sunlight to grow,D
Which of these will always produce a magnetic field?,a bar of steel,a bar of aluminum,an electric current,an electric charge,C
Matter that is vibrating is producing ___.,gas,light,sound,shadows,C
"A dung beetle is an insect that gathers waste from animals, rolls it into a compact ball, lays eggs in it, and buries it in the soil. This gives the eggs a warm, safe place to hatch and provides a food source for the developing larvae. Which impact does the dung beetle most likely have on its ecosystem?",It helps return nutrients to the soil.,It makes animal waste harder to degrade.,It causes an unhealthy accumulation of animal waste.,It depletes nutrients from the soil to benefit its young.,A
The Grand Canyon is an example of,erosion.,deposition.,an earthquake.,volcanic activity.,A
Why would explorers use a compass when traveling to unknown lands?,to locate a direction to travel,to measure the quality of drinking water,to protect themselves from wild animals,to determine levels of humanity in tropical areas,A
Which of these is a renewable resource found in Nevada?,zinc metal,gravel deposits,petroleum products,geothermal energy,D
Which of the following would be more likely to pollute a river?,allowing beavers to build a dam,spreading fertilizer near the river,mowing the grass on the river bank,fishing from a bridge over the river,B
Which action is an example of good water management?,letting faucets drip,watering the grass every day,turning off the faucet when brushing teeth,running the dishwasher when it is not full,C
Which of the following is an example of how insects are beneficial to humans?,Insects can spread diseases.,Insects have short life spans.,Insects pollinate flowering plants.,Insects sometimes eat poisonous plants.,C
"What is an environmental threat posed by oil and gas acquisition and transport that is not posed by the acquisition and transport of the energy resources uranium, and wood?",habitat change,vehicle pollution,pipeline leaks,soil compaction and loss,C
Which device converts kinetic energy into electrical energy?,calculator,generator,electric motor,electromagnet,B
"When large areas of the rainforests are cleared and burned, climate can be affected. Which best explains how rainforest destruction can contribute to the greenhouse effect?",by threatening native plants and animals,by increasing the rate of soil erosion,by increasing the water levels in oceans,by releasing carbon into the atmosphere,D
"Which gas, when condensed into its liquid state in the atmosphere, forms clouds?",methane,nitrogen,water vapor,carbon dioxide,C
Which scale is used to report the intensity of an earthquake?,Saffir-Simpson Scale,Modified Mercalli Scale,Richter Magnitude Scale,Moment Magnitude Scale,B
"Residential construction is expanding in Florida. The expansion has caused fragmentation of habitats. One of the results of the increased construction is a decrease in the number of large predators such as the coyote, black bear, and panther. Which will be the most immediate local result of this fragmentation?",decrease in middle-sized predators,large predators will become extinct,increase in population of prey species,increase in population of top carnivores,C
"Some immune cells are actively involved in ingesting, destroying, and presenting invading microbial antigens on their surface to stimulate other cells to produce antibodies. Which of these cells is responsible for initiating such an immune response?",mast cells,phagocytes,B-lymphocytes,T-lymphocytes,B
Which unit is used to indicate the amount of energy in food?,ounce,degree,calorie,gram,C
"During winter, the white fur of an arctic fox blends in with the snow. This adaptation is called",hibernation,migration,camouflage,movement,C
"As water vapor condenses into liquid, which of the following can be formed?",ice,steam,frost,clouds,D
Which of the following is a cause of the ocean levels periodically rising and then falling?,the slight tilt of the Moon,the force of gravity from the Moon,the convection within Earth's mantle,the revolution of Earth around the Sun,B
Randall is picking lettuce from his garden for dinner. His mother told him to leave some leaves on each plant. Why is it important to leave some leaves on the plant?,Leaves help the plant make food.,Leaves help the plant absorb water.,Leaves help the plant stand upright.,Leaves help the plant make seeds.,A
"Stretching is considered an important step before engaging in sports. In an investigation to see whether stretching before physical exertion reduces sports injuries, who would the control group most likely be?",athletes who stretch before working out,non-athletes who stretch before working out,athletes who do not stretch before working out,non-athletes who do not stretch before working out,C
A line graph is best used when the measured variable is,changing at a constant rate.,nearly equal in several trials.,being compared to a control.,observed at one point in time.,A
Heat from deep in Earth's interior is transferred to its crust by which of the following?,conduction in the ocean,convection in the mantle,radiation from the solid core,evaporation at mid-ocean ridges,B
"When a formula unit of magnesium sulfide, MgS, is separated into magnesium and sulfur particles, the particles are called",molecules.,ions.,isotopes.,compounds.,B
"The snowshoe hare was once common in Maryland. In 1986, researchers in the state noted that the snowshoe hare was no longer found in Maryland. Which statement best explains why the snowshoe hare is no longer found in Maryland?",Water quality has improved.,There are too many trees.,The temperature is too cold.,Housing developments have replaced fields.,D
Which features are physical properties of an iron nail?,"conducts heat, magnetic, solid","conducts electricity, magnetic, rusts","conducts sound, insulates, non-magnetic","dissolves, conducts heat, non-magnetic",A
Jonny climbed an apple tree. How are Jonny and the apple tree similar to each other?,Both are made of cells.,Both take in carbon dioxide.,Both get nutrients directly from soil.,Both get energy from other organisms.,A
An example of a learned behavior is a,spider building a web.,dog laying down on command.,beaver building a dam in a creek.,kangaroo jumping away from a predator.,B
Which of the following best explains why the Sun appears to move across the sky every day?,The Sun rotates on its axis.,Earth rotates on its axis.,The Sun orbits around Earth.,Earth orbits around the Sun.,B
The length of daylight changes as the seasons change during the year. What causes these changes in daylight?,Earth's tilt on its axis,the Sun's tilt on its axis,Earth spinning on its axis,the Sun spinning on its axis,A
Which three systems of the human body function together to move and control body parts?,"nervous, skeletal, and muscular","muscular, endocrine, and excretory","digestive, excretory, and reproductive","circulatory, endocrine, and respiratory",A
The number of fish in a lake suddenly increases. How will the increase most likely affect the lake?,There will be less water in the lake.,More plants will grow in the lake.,More frogs will live in the lake.,There will be fewer insects in the lake.,D
In which structure is the Sun located?,Milky Way Galaxy,Andromeda Galaxy,Cat's Eye Nebula,Horseshoe Nebula,A
What causes nighttime and daytime on Earth?,the Sun rotating on its axis,Earth rotating on its axis,Earth revolving around the Sun,the Moon revolving around Earth,B
Which of the following is an example of an assistive device?,contact lens,motorcycle,raincoat,coffee pot,A
"Humans cannot survive without clean, fresh water. Reservoirs of liquid water vary, but all water spends time as a gas in the atmosphere. What is the source of most of the water in the atmosphere?",lakes,oceans,rivers,glaciers,B
Which instrument should a student use to measure exactly 10 milliliters (mL) of water?,graduated cylinder,pan balance,ruler,thermometer,A
The seeds of an oak come from the ___.,fruit,leaf,root,stem,A
Which word best describes the speed of a cart that has a positive velocity and a negative acceleration?,slow,fast,decreasing,increasing,C
Which object will most likely be attracted to a magnet?,wooden block,plastic cup,metal nail,glass bead,C
"If an environment becomes warmer and drier, the change that would most likely help a species adapt would be an increase in its",amount of body fat.,amount of body hair.,ability to climb trees.,ability to store water.,D
Joanne wants to investigate factors that affect different patterns of the flight of bees. Which step in the scientific method must she follow before forming a hypothesis?,record data of numbers of bees,measure the distances of bee flights,draw a conclusion about when bees fly,gather information about flight patterns,D
Two scientists doing the same experiment got different results. Which would be the best way to figure out which result might be correct?,A group of scientists should argue about the results.,The two scientists should do different experiments.,More scientists should do the experiment.,A group of scientists should vote.,C
Which term identifies a group of cells that work together to perform a similar function?,molecule,organ,organism,tissue,D
Which object is nonliving?,bear,bicycle,bird,butterfly,B
"In order to record the passing of a distant comet, which instruments would be the most useful?","camera, tripod, and telescope","telescope, binoculars, and camera","camera with flash attachment, and tripod",telescope with camera attachment and camera,D
Which of these BEST describes the way a feather feels?,Colorful,Soft,Low,Bright,B
What are petri dishes used for in a lab?,reflecting light to form images,measuring the mass of molecules,growing bacteria in a controlled setting,observing the strength of physical forces,C
